id,name,cnpj,address
1,Flashspan,4015229517,53 Prentice Center
2,Thoughtmix,6679412498,0602 Rusk Crossing
3,Roomm,6406100425,6333 Esker Pass
4,Vitz,8759878894,85 Rockefeller Circle
5,Voonyx,3355771902,724 Kim Parkway
6,Zoovu,8739062074,1 Waywood Circle
7,LiveZ,8853801891,34445 6th Terrace
8,Livetube,6150836908,13 Steensland Street
9,Tavu,9968929077,425 Stuart Parkway
10,Aibox,0923358528,0909 Rowland Center
11,Oyoloo,6704921257,24 Oak Valley Point
12,Meeveo,2871757348,95 Kipling Parkway
13,Muxo,4661109414,5100 Hoepker Avenue
14,Flashdog,8733114730,834 Algoma Lane
15,Zoomdog,7537411859,6938 Boyd Hill
16,Geba,3220789676,18 Division Trail
17,Devbug,6095401909,62 Roth Plaza
18,Yodoo,1338348051,17915 Gulseth Court
19,Divape,0883137674,81 Nancy Alley
20,Flashspan,8510296448,728 Union Plaza
21,Jabberbean,6566877673,7 Myrtle Drive
22,Skivee,7737838171,8042 Northland Road
23,Yodo,9347021814,03569 Iowa Point
24,Aivee,8044294678,21172 Sutherland Center
25,Pixope,2365082297,82 Kedzie Alley
26,Skimia,2331890781,0425 Burning Wood Point
27,Voolia,7544600203,01 Reindahl Avenue
28,Thoughtbridge,7754862581,586 Dwight Street
29,Meezzy,3598052073,9945 Fair Oaks Plaza
30,Gabtype,1375857517,178 Aberg Street
31,Realbridge,4150142769,7 Elmside Circle
32,Rhynyx,2241896896,7369 Green Ridge Lane
33,Thoughtstorm,6693928536,62957 Farwell Circle
34,Twitterbridge,2445278791,81 Morrow Parkway
35,Vidoo,7450594943,32 Karstens Trail
36,Photobug,0831604964,7 Michigan Pass
37,Lazz,1282276298,458 Cherokee Place
38,Roomm,4783656444,05 Canary Trail
39,Shufflebeat,4485533115,052 Novick Crossing
40,Jaloo,0106327461,6 Karstens Park
41,Dabfeed,6250761764,0069 Montana Parkway
42,Twitterbeat,1027621929,650 David Drive
43,Vimbo,5504866154,3441 Bartillon Parkway
44,Trilith,8335653097,9840 Sullivan Drive
45,Oyoyo,8941161762,4284 Twin Pines Crossing
46,Zoombox,8297863468,31888 Carioca Pass
47,Tekfly,7988835416,633 Spaight Alley
48,Camimbo,9552421217,4651 Muir Crossing
49,Einti,9020782517,88605 Golf View Trail
50,Zoombeat,3476939251,150 Summit Pass
51,Centizu,9489264768,33269 Marquette Circle
52,Demizz,9183752307,5 Heffernan Terrace
53,Mybuzz,9274761902,90524 Lighthouse Bay Terrace
54,Quire,6927011773,306 Gerald Trail
55,Jayo,4902503549,2 Gulseth Road
56,Brightbean,3385553121,46127 East Center
57,Voonte,4474662016,9 Forest Center
58,Gabspot,8473701356,18622 Anniversary Court
59,Dablist,5354193249,40 Sundown Trail
60,Kanoodle,3896266101,29707 Gerald Parkway
61,Leenti,5580213387,2 Ryan Park
62,Katz,7888073247,23 Monument Drive
63,DabZ,6443967968,5 Shelley Avenue
64,Feedspan,9618597644,2 Stephen Pass
65,Twinte,1602077088,0004 Graedel Circle
66,Quatz,3735344208,19 Columbus Circle
67,Eazzy,1544124198,3 Lerdahl Avenue
68,Photobug,4772743561,9669 Becker Plaza
69,Leenti,9973945565,60 Kennedy Court
70,Realfire,8950125811,61734 Mesta Center
71,Quinu,6543526610,700 Heffernan Center
72,Zazio,8000426390,364 Rutledge Hill
73,Eadel,3923943059,47195 Southridge Alley
74,Tazz,8878580031,8922 Lindbergh Court
75,Mybuzz,9925345286,4312 Rieder Road
76,Kazu,3290949532,89 Marcy Place
77,Topiclounge,4087807142,27441 Fallview Lane
78,Realcube,2338911105,299 Ludington Crossing
79,Browsecat,8596590498,36093 Kipling Terrace
80,Avaveo,4405777896,53873 Gateway Way
81,Jamia,4151367306,84840 Onsgard Parkway
82,Livefish,4157694759,2351 Becker Drive
83,Livetube,8638870248,2673 North Parkway
84,Feedfish,1552651843,840 Sloan Plaza
85,Twimm,1153975114,69871 Bashford Circle
86,Babbleopia,0921906242,3 Tony Circle
87,Cogilith,0138573840,7296 Mcguire Drive
88,Buzzster,7054201396,3 Sauthoff Lane
89,Topicstorm,7578135031,080 Summit Plaza
90,Leexo,5894919371,5999 Knutson Plaza
91,Eimbee,4460365693,7303 Dexter Junction
92,Vimbo,0061242047,2349 Jay Plaza
93,Yombu,5878083825,4284 Stoughton Pass
94,Flashpoint,4753530000,31951 Victoria Circle
95,DabZ,0623659794,23657 Grasskamp Park
96,Bubblebox,3745557794,3 Cherokee Point
97,InnoZ,0810227436,6473 Ilene Junction
98,Centidel,0446534560,00968 Eastwood Place
99,Shufflester,0135998999,448 Arizona Way
100,Jabbersphere,5042214909,674 Stang Lane
101,Quire,7950287411,1 Burning Wood Junction
102,Kwideo,2579815708,975 Crowley Court
103,Tazz,5387885352,9 Corscot Parkway
104,Yombu,0951530011,47150 Green Parkway
105,Meezzy,7889402244,48 Spohn Lane
106,Blogtags,5811391196,3957 Dixon Avenue
107,Edgeblab,2803063719,51 Hallows Place
108,Realblab,6084073670,2 Bowman Road
109,Geba,2417886782,00 Mockingbird Parkway
110,Zoomlounge,2581857692,1 Esker Court
111,Youfeed,1991198280,70 High Crossing Trail
112,Feedbug,4694301802,11428 Sullivan Avenue
113,Chatterpoint,3802381483,5 Nevada Junction
114,Skimia,4908376336,60938 Oxford Pass
115,Omba,3622702389,5 Tomscot Parkway
116,Midel,5005896228,1 Lakeland Way
117,Mita,9848137300,4096 Melody Crossing
118,Yakidoo,2354144334,7 Shopko Park
119,Yoveo,5586704269,735 Everett Junction
120,Cogidoo,3958661912,21948 Cardinal Place
121,Twitterbridge,2623754829,166 Haas Way
122,Kwilith,1823006590,4165 Paget Hill
123,Meeveo,5531575904,92 Maple Wood Terrace
124,Gabtune,9223339251,19897 Redwing Lane
125,Realbuzz,8178005476,09 Karstens Center
126,Tazzy,4928937015,155 Cottonwood Street
127,Centimia,7976525018,485 Alpine Crossing
128,Thoughtbridge,0344129128,626 Northfield Crossing
129,Jetwire,0468781595,57978 Hoepker Street
130,Dynava,2812902744,13971 Lakewood Gardens Hill
131,Vinder,0454768109,3992 Carioca Plaza
132,Riffwire,8272170493,8 Independence Court
133,Teklist,3653861705,4545 Shopko Trail
134,Eayo,9209153642,39 Lighthouse Bay Trail
135,Edgewire,6626559516,17096 Comanche Way
136,Ntag,8789152247,6 West Court
137,Agimba,8906913923,7429 Hermina Place
138,Abata,1869274857,88 1st Trail
139,Digitube,3802430581,47 Larry Terrace
140,Quaxo,3699594211,0278 Farwell Parkway
141,Aimbu,9296921309,419 Spaight Avenue
142,Bubbletube,8557177038,74 Aberg Center
143,Thoughtmix,9665204653,2 Memorial Plaza
144,Pixoboo,1708241108,0207 Sunnyside Road
145,Realfire,2535005778,1 Coleman Alley
146,Yacero,0134582292,42 Lerdahl Avenue
147,Yombu,7703245704,774 Miller Trail
148,Twinte,3121231006,55875 Prairieview Crossing
149,Zoomlounge,6168381368,65 Scott Court
150,Bluezoom,2733510746,64 Knutson Point
151,Jayo,5735866885,997 Coleman Road
152,Kamba,3254488148,611 Larry Parkway
153,Edgeify,2072411645,2 Oriole Trail
154,Meevee,8499134602,57997 Union Alley
155,Topicstorm,5761173360,24 Caliangt Street
156,Riffpath,9616030078,364 3rd Park
157,Yodoo,7764906840,7 Quincy Drive
158,Avamm,0431119988,85 Fairview Trail
159,Realfire,2714276423,2667 Texas Pass
